Name,Count
90201,1
A,3
AALIYAH,2
AALSKA,1
AARON,3
ABACO,1
ABACUS,1
ABALEEN,1
ABBEY,8
ABBI,2
ABBIE,5
ABBOTT,2
ABBY,87
ABDELSAID,1
ABE,1
ABEDRABBO,1
ABEL,2
ABEY,1
ABI,2
ABIGAIL,28
ABIGALE,1
ABILGAIL,1
ABIR,1
ABITA,1
ABRAHAM,5
ABRIK,1
ABRIL,1
ABSOLUT,1
ABU,3
ACE,85
ACENTIA,1
ACER,1
ACHAK,1
ACHI,1
ACHILEAS,1
ACHILLES,19
ACHILLIES,1
ACKEE,1
ACKEES,1
ACKLEY,1
ACORN,1
ACOSTA,1
ACTION,1
ADA,3
ADAM,5
ADDA,1
ADDIE,11
ADDISON,4
ADDY,3
ADELAIDE,3
ADELE,2
ADELINE,5
ADELLA,1
ADELLINE,1
ADGER,1
ADI,1
ADIN,1
ADINA,1
ADMIRAL,2
ADOLF,1
ADONIS,5
ADORABLE,1
ADORE,2
ADORYLICIOUS,1
ADRIAN,6
AELIE,1
AENGUS,1
AERIE,2
AERIS,1
AERYS,1
AESOP,2
AGADOR,1
AGAPI,1
AGATA,1
AGATHOR,2
AGAVE,1
AGENT,1
AGGIE,7
AGNES,12
AGRIPPINA,1
AGUILAR,2
AGUS,1
AHAVA,1
AHSOKA,2
AIDA,1
AIDEN,2
AIEO,1
AIKA,1
AIKO,6
AIMEE,1
AINSLEY,1
AINSWORTH,1
AIOLI,1
AIRES,1
AISA,1
AISHA,1
AISLINN,1
AIYANA,1
AJ,9
AJAX,11
AJAY,1
AK,1
AKA,1
AKAMARO,1
AKASHI,1
AKELA,1
AKEMI,1
AKHILLES,1
AKI,5
AKIBA,1
AKILA,1
AKINO,1
AKIO,2
AKIRA,7
AKKO,1
AKUMA,2
AL,1
ALABAMA,8
ALADDIN,3
ALAEWAH,1
ALAIA,2
ALAMEDA,1
ALAN,1
ALANA,1
ALARA,1
ALARIC,1
ALASKA,5
ALBA,2
ALBAN,1
ALBANY,1
ALBEE,3
ALBERT,15
ALBIE,9
ALBUS,4
ALBY,2
ALDO,4
ALDUS,1
ALECOS,1
ALEE,1
ALEJANDRO,4
ALENA,1
ALEPH,1
ALESSIA,2
ALEX,16
ALEXA,2
ALEXANDER,10
ALEXANDRA,3
ALEXIS,6
ALF,2
ALFA,2
ALFALFA,2
ALFI,1
ALFIE,36
ALFIO,1
ALFONSE,1
ALFONSO,3
ALFRED,8
ALFREDO,3
ALI,3
ALIA,2
ALIANYA,1
ALICE,22
ALISA,2
ALISON,1
ALISTAIR,3
ALKI,1
ALLAGASH,1
ALLEGRA,2
ALLEN,1
ALLEY,2
ALLI,1
ALLIANNAH,1
ALLIE,15
ALLISON,2
ALLISTER,1
ALLY,9
ALMA,3
ALMOND,5
ALOE,2
ALONZO,2
ALPA,1
ALPHA,6
ALPHONSE,1
ALPHY,2
ALPO,1
