Name,Count_doggos,Count_babies,Per_100k_doggos,Per_100k_babies
AALIYAH,2,737,10.109690137997271,217.70467784433967
AARON,3,1845,15.164535206995906,545.00017723583
ABBY,87,118,439.7715210028813,34.85637989909373
ABEL,2,141,10.109690137997271,41.65042004891709
ABIGAIL,28,1742,141.53566193196178,514.5746930866211
ABRAHAM,5,1133,25.274225344993177,334.68032564129834
ABRIL,1,10,5.0548450689986355,2.9539304999231977
ADA,3,107,15.164535206995906,31.607056349178215
ADAM,5,1562,25.274225344993177,461.40394408800347
ADDISON,4,172,20.219380275994542,50.807604598679
ADELAIDE,3,79,15.164535206995906,23.33605094939326
ADELE,2,139,10.109690137997271,41.05963394893245
ADELINE,5,99,25.274225344993177,29.24391194923966
ADINA,1,120,5.0548450689986355,35.44716599907837
ADONIS,5,174,25.274225344993177,51.39839069866364
ADRIAN,6,1374,30.32907041399181,405.8700506894474
AIDEN,2,3155,10.109690137997271,931.9650727257689
AIMEE,1,25,5.0548450689986355,7.384826249807994
AISHA,1,285,5.0548450689986355,84.18701924781114
ALAIA,2,133,10.109690137997271,39.28727564897853
ALAN,1,648,5.0548450689986355,191.4146963950232
ALANA,1,216,5.0548450689986355,63.80489879834107
ALBERT,15,272,75.82267603497952,80.34690959791098
ALDO,4,24,20.219380275994542,7.089433199815675
ALEJANDRO,4,359,20.219380275994542,106.0461049472428
ALESSIA,2,95,10.109690137997271,28.06233974927038
ALEX,16,825,80.87752110397817,243.69926624366383
ALEXA,2,737,10.109690137997271,217.70467784433967
ALEXANDER,10,3059,50.54845068998635,903.6073399265063
ALEXANDRA,3,889,15.164535206995906,262.60442144317227
ALEXIS,6,502,30.32907041399181,148.28731109614452
ALFRED,8,18,40.438760551989084,5.317074899861756
ALFREDO,3,27,15.164535206995906,7.975612349792634
ALI,3,418,15.164535206995906,123.47429489678967
ALIA,2,12,10.109690137997271,3.5447165999078374
ALICE,22,655,111.20659151796997,193.48244774496945
ALISA,2,83,10.109690137997271,24.517623149362542
ALISON,1,150,5.0548450689986355,44.30895749884797
ALLEN,1,250,5.0548450689986355,73.84826249807995
ALLISON,2,738,10.109690137997271,218.000070894332
ALMA,3,86,15.164535206995906,25.4038022993395
ALPHA,6,70,30.32907041399181,20.677513499462385
ALVIN,11,274,55.603295758984984,80.93769569789562
ALYSSA,1,693,5.0548450689986355,204.7073836446776
AMANDA,4,390,20.219380275994542,115.20328949700472
AMANI,1,25,5.0548450689986355,7.384826249807994
AMAYA,5,390,25.274225344993177,115.20328949700472
AMBER,24,317,121.31628165596725,93.63959684756537
AMELIA,12,1112,60.65814082798362,328.4770715914596
AMELIE,1,77,5.0548450689986355,22.745264849408624
AMIA,1,22,5.0548450689986355,6.498647099831035
AMINA,3,322,15.164535206995906,95.11656209752697
AMIR,2,832,10.109690137997271,245.76701759361006
AMY,20,635,101.0969013799727,187.57458674512307
ANA,3,251,15.164535206995906,74.14365554807226
ANABELLE,3,10,15.164535206995906,2.9539304999231977
ANASTASIA,2,181,10.109690137997271,53.46614204860988
ANDERSON,3,200,15.164535206995906,59.07860999846395
ANDREA,2,286,10.109690137997271,84.48241229780346
ANDREW,6,1776,30.32907041399181,524.61805678636
ANDY,29,463,146.59050700096043,136.76698214644406
ANGEL,61,1472,308.34554920891674,434.81856958869474
ANGELA,6,465,30.32907041399181,137.3577682464287
ANGELICA,2,172,10.109690137997271,50.807604598679
ANGELINA,3,754,15.164535206995906,222.72635969420912
ANGELINE,1,12,5.0548450689986355,3.5447165999078374
ANGELIQUE,1,116,5.0548450689986355,34.2655937991091
ANGELO,2,190,10.109690137997271,56.12467949854076
ANGIE,11,121,55.603295758984984,35.74255904907069
ANGUS,8,16,40.438760551989084,4.726288799877117
ANNA,9,813,45.493605620987715,240.15454964375598
ANNABEL,2,55,10.109690137997271,16.246617749577588
ANNABELLA,1,33,5.0548450689986355,9.747970649746552
ANNABELLE,12,314,60.65814082798362,92.75341769758842
ANNE,1,80,5.0548450689986355,23.63144399938558
ANNIE,59,154,298.2358590709195,45.49052969881725
ANNIKA,1,10,5.0548450689986355,2.9539304999231977
ANTHONY,7,2226,35.383915482990446,657.5449292829038
ANTON,2,32,10.109690137997271,9.452577599754234
ANTONIA,1,63,5.0548450689986355,18.609762149516147
ANTONIO,4,385,20.219380275994542,113.72632424704311
ANYA,4,44,20.219380275994542,12.99729419966207
APRIL,25,88,126.37112672496588,25.99458839932414
ARABELLA,5,28,25.274225344993177,8.271005399784954
ARCHER,12,50,60.65814082798362,14.769652499615988
ARI,10,242,50.54845068998635,71.48511809814138
ARIA,9,561,45.493605620987715,165.71550104569138
ARIANNA,1,948,5.0548450689986355,280.03261139271916
ARIEL,8,669,40.438760551989084,197.61795044486195
ARIELLA,3,254,15.164535206995906,75.02983469804923
ARLO,26,47,131.42597179396452,13.88347334963903
ARMANI,7,106,35.383915482990446,31.3116632991859
ARTHUR,21,190,106.15174644897134,56.12467949854076
ARTURO,1,20,5.0548450689986355,5.907860999846395
ARYA,22,194,111.20659151796997,57.30625169851004
ASHER,10,496,50.54845068998635,146.5149527961906
ASHLEY,9,1270,45.493605620987715,375.14917349024614
ASHTON,5,249,25.274225344993177,73.55286944808762
ASIA,8,12,40.438760551989084,3.5447165999078374
ATHENA,56,222,283.07132386392357,65.577257098295
ATTICUS,16,10,80.87752110397817,2.9539304999231977
AUBREY,2,414,10.109690137997271,122.29272269682039
AUDREY,13,465,65.71298589698226,137.3577682464287
AUGUST,14,179,70.76783096598089,52.87535594862524
AUGUSTUS,17,20,85.9323661729768,5.907860999846395
AURORA,11,162,55.603295758984984,47.8536740987558
AUSTIN,15,867,75.82267603497952,256.10577434334124
AUTUMN,12,291,60.65814082798362,85.95937754776506
AVA,44,2074,222.41318303593994,612.6451856840712
AVERY,14,987,70.76783096598089,291.5529403424196
AVIVA,1,82,5.0548450689986355,24.222230099370222
AVRIL,1,11,5.0548450689986355,3.2493235499155175
AXEL,19,392,96.04205631097408,115.79407559698936
AYLA,2,86,10.109690137997271,25.4038022993395
BAILEY,262,12,1324.3694080776424,3.5447165999078374
BARBARA,1,36,5.0548450689986355,10.634149799723511
BATYA,1,27,5.0548450689986355,7.975612349792634
BEATRICE,10,173,50.54845068998635,51.10299764867132
BEATRIX,7,29,35.383915482990446,8.566398449777274
BECKETT,3,80,15.164535206995906,23.63144399938558
BELLA,643,736,3250.2653793661225,217.40928479434737
BEN,27,125,136.48081686296314,36.924131249039974
BENJAMIN,37,2177,187.0292675529495,643.0706698332801
BENNETT,6,101,30.32907041399181,29.834698049224297
BENSON,17,105,85.9323661729768,31.016270249193578
